person_home_ownership,loan_intent,loan_grade,person_age,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_income,person_emp_length,cb_person_default_on_file
RENT,DEBTCONSOLIDATION,A,23,7200,6.92,0,0.08,2,93000,1,N
RENT,PERSONAL,B,23,7200,11.71,0,0.07,4,105000,7,N
MORTGAGE,EDUCATION,D,22,10075,16.29,0,0.18,4,56000,3,Y
MORTGAGE,PERSONAL,C,25,10250,14.65,0,0.18,4,56000,5,Y
RENT,HOMEIMPROVEMENT,B,26,7200,12.18,0,0.06,3,111000,1,N
MORTGAGE,HOMEIMPROVEMENT,B,26,10000,12.42,0,0.18,2,56000,9,N
MORTGAGE,VENTURE,A,23,7200,6.03,0,0.13,2,56000,7,N
MORTGAGE,MEDICAL,A,24,12250,6.03,0,0.22,4,56000,8,N
RENT,HOMEIMPROVEMENT,B,25,7200,9.91,0,0.05,3,135000,6,N
RENT,MEDICAL,A,25,7200,0,0,0.05,2,149000,9,N
RENT,HOMEIMPROVEMENT,B,25,7250,10.65,0,0.12,4,62467,1,N
MORTGAGE,DEBTCONSOLIDATION,C,26,6000,15.23,0,0.11,4,56000,2,N
RENT,VENTURE,A,24,7250,5.42,0,0.09,2,80000,6,N
OWN,VENTURE,A,24,2000,6.99,0,0.04,3,56000,8,N
RENT,MEDICAL,B,25,7300,11.14,0,0.27,3,26729,5,N
MORTGAGE,DEBTCONSOLIDATION,C,23,13600,15.23,0,0.24,4,56000,4,Y
MORTGAGE,VENTURE,B,24,2000,10.99,0,0.04,4,56000,3,N
MORTGAGE,HOMEIMPROVEMENT,C,24,19125,13.99,0,0.34,3,56000,4,Y
MORTGAGE,PERSONAL,A,25,12800,7.49,1,0.26,4,50000,6,N
MORTGAGE,MEDICAL,B,22,9000,10.59,0,0.16,2,56000,4,N
RENT,DEBTCONSOLIDATION,A,26,7300,7.88,0,0.2,4,37086,7,N
RENT,MEDICAL,A,23,7300,0,0,0.19,2,38000,1,N
MORTGAGE,EDUCATION,A,24,15000,8.49,0,0.27,2,56000,3,N
RENT,DEBTCONSOLIDATION,B,26,7300,9.45,0,0.18,4,41400,5,N
MORTGAGE,EDUCATION,A,24,10000,7.49,0,0.18,3,56000,8,N
RENT,VENTURE,A,22,7300,7.88,0,0.16,2,45999,1,N
MORTGAGE,MEDICAL,D,23,7500,15.62,1,0.15,3,50000,7,N
MORTGAGE,EDUCATION,A,25,5000,5.42,0,0.09,3,56000,0,N
MORTGAGE,VENTURE,B,25,12375,11.49,0,0.22,4,56000,9,N
RENT,EDUCATION,B,21,7300,11.71,0,0.15,3,50000,4,N
MORTGAGE,EDUCATION,C,24,5250,12.87,0,0.09,2,56000,2,N
MORTGAGE,MEDICAL,A,24,17400,5.99,0,0.31,2,56000,5,N
RENT,EDUCATION,A,25,7300,8,0,0.14,4,53600,1,N
RENT,EDUCATION,A,23,7300,8.49,0,0.08,4,96000,7,N
MORTGAGE,VENTURE,A,23,6000,5.99,0,0.11,2,56000,4,N
MORTGAGE,DEBTCONSOLIDATION,B,22,20000,10.99,0,0.36,4,56000,3,N
RENT,VENTURE,B,23,7325,12.69,0,0.17,3,42000,1,N
RENT,VENTURE,A,24,7350,6.92,1,0.59,2,12480,1,N
RENT,MEDICAL,C,25,7350,13.43,0,0.23,3,32500,5,Y
RENT,MEDICAL,B,24,7350,11.71,0,0.22,3,33000,1,N
OWN,EDUCATION,B,23,20000,0,0,0.36,3,56000,7,N
RENT,EDUCATION,B,23,7400,0,0,0.18,3,42000,4,N
RENT,EDUCATION,E,25,7400,16.32,1,0.18,4,42000,0,N
RENT,PERSONAL,C,24,7400,13.99,1,0.17,4,43995,0,Y
MORTGAGE,MEDICAL,B,21,5600,10.37,0,0.1,4,56000,6,N
RENT,EDUCATION,B,25,7400,10.36,0,0.13,2,57996,5,N
RENT,DEBTCONSOLIDATION,A,25,7400,6.99,0,0.12,2,62000,0,N
MORTGAGE,EDUCATION,A,26,6000,5.42,0,0.11,4,56000,10,N
RENT,EDUCATION,D,24,7400,15.65,0,0.1,3,72000,5,Y
MORTGAGE,EDUCATION,C,26,15000,14.35,0,0.27,2,56000,10,N
RENT,EDUCATION,A,22,7475,9.63,0,0.22,2,34359,6,N
RENT,EDUCATION,A,21,7500,7.05,1,0.59,4,12720,1,N
MORTGAGE,EDUCATION,A,23,3000,6.76,0,0.05,3,56000,4,N
OWN,EDUCATION,B,24,2000,11.49,0,0.04,2,56000,8,N
MORTGAGE,PERSONAL,A,22,4750,7.14,0,0.08,2,56000,6,N
RENT,VENTURE,A,24,7500,7.88,1,0.36,3,20796,2,N
MORTGAGE,DEBTCONSOLIDATION,A,23,5500,7.51,0,0.1,4,56000,6,N
MORTGAGE,MEDICAL,B,22,12000,10.99,0,0.21,2,56000,5,N
RENT,DEBTCONSOLIDATION,A,23,7500,6.91,1,0.36,4,21000,6,N
OWN,MEDICAL,B,23,15000,10.62,0,0.27,3,56000,2,N
RENT,PERSONAL,A,23,7500,7.14,1,0.35,3,21360,0,N
RENT,MEDICAL,C,25,7500,11.34,1,0.35,2,21500,2,N
RENT,MEDICAL,B,22,7500,9.76,1,0.33,4,22596,4,N
RENT,EDUCATION,D,24,7500,13.24,1,0.32,2,23196,1,N
RENT,EDUCATION,C,25,7500,12.98,0,0.3,3,24996,3,Y
MORTGAGE,HOMEIMPROVEMENT,B,26,8000,11.14,0,0.14,4,56000,0,N
RENT,PERSONAL,A,22,7500,7.51,0,0.3,4,25000,0,N
MORTGAGE,VENTURE,A,24,13000,8.94,0,0.23,3,56000,5,N
RENT,MEDICAL,D,22,7500,14.96,1,0.3,3,25200,7,N
RENT,PERSONAL,B,26,7500,12.18,0,0.29,2,26000,2,N
MORTGAGE,MEDICAL,A,23,10000,8.59,0,0.18,3,56000,1,N
MORTGAGE,PERSONAL,F,23,13750,18.43,0,0.25,2,56000,7,N
RENT,VENTURE,C,23,7500,12.73,0,0.28,4,26400,8,N
RENT,EDUCATION,A,21,7500,6.76,0,0.27,4,27600,4,N
RENT,EDUCATION,D,25,7500,15.33,1,0.27,3,28128,2,Y
RENT,VENTURE,B,21,7500,9.99,0,0.25,4,30000,5,N
RENT,DEBTCONSOLIDATION,B,23,7500,0,0,0.25,4,30000,3,N
RENT,EDUCATION,A,24,7500,5.79,0,0.25,2,30000,8,N
MORTGAGE,PERSONAL,B,23,4500,11.83,0,0.08,4,56000,7,N
MORTGAGE,MEDICAL,B,26,12000,11.89,0,0.21,3,56000,11,N
RENT,EDUCATION,B,21,7500,11.83,0,0.25,4,30000,5,N
RENT,PERSONAL,E,26,7500,14.75,1,0.25,3,30000,1,N
RENT,PERSONAL,D,23,7500,13.24,1,0.25,3,30000,1,Y
MORTGAGE,MEDICAL,C,23,7500,13.79,0,0.13,3,56000,3,Y
RENT,MEDICAL,B,21,7500,10.75,0,0.25,4,30028,5,N
RENT,PERSONAL,B,22,7500,9.91,0,0.24,4,31200,3,N
RENT,EDUCATION,C,22,7500,13.11,0,0.24,2,31875,3,N
RENT,MEDICAL,C,26,7500,13.79,0,0.23,3,32000,1,Y
RENT,EDUCATION,B,22,7500,0,0,0.23,4,33000,2,N
RENT,DEBTCONSOLIDATION,A,26,7500,7.9,1,0.22,3,34000,5,N
MORTGAGE,EDUCATION,C,23,10000,13.61,0,0.18,4,56004,0,N
MORTGAGE,MEDICAL,B,22,6000,11.86,0,0.11,3,56004,6,N
MORTGAGE,MEDICAL,A,22,6000,7.88,0,0.11,4,56004,6,N
OWN,EDUCATION,C,22,12000,13.98,0,0.21,3,56004,5,N
MORTGAGE,DEBTCONSOLIDATION,A,22,2000,7.51,0,0.04,4,56004,6,N
RENT,HOMEIMPROVEMENT,D,22,7500,15.05,1,0.22,2,34404,2,N
MORTGAGE,EDUCATION,C,26,20000,13.57,0,0.36,4,56004,10,Y
MORTGAGE,EDUCATION,A,26,13000,8.59,0,0.23,3,56004,3,N
OWN,MEDICAL,A,26,10000,9.32,0,0.18,3,56004,2,N
RENT,PERSONAL,D,23,7500,12.61,0,0.22,4,34780,5,N
RENT,DEBTCONSOLIDATION,B,25,7500,10.99,0,0.21,2,35000,2,N
RENT,MEDICAL,D,21,7500,0,1,0.26,2,29004,0,Y
MORTGAGE,EDUCATION,D,24,6000,15.62,1,0.12,2,50160,2,N
MORTGAGE,PERSONAL,B,23,3050,10.59,0,0.05,2,56160,2,N
RENT,DEBTCONSOLIDATION,C,25,7500,13.49,0,0.21,4,36000,0,N
RENT,VENTURE,B,26,7500,10.59,0,0.21,3,36000,10,N
RENT,PERSONAL,B,26,7500,12.18,1,0.25,3,30320,2,N
MORTGAGE,EDUCATION,C,22,6000,12.99,0,0.11,2,56368,5,N
RENT,EDUCATION,D,22,7500,14.84,0,0.2,3,36750,6,N
MORTGAGE,DEBTCONSOLIDATION,D,25,12000,16.89,1,0.24,4,50400,9,N
MORTGAGE,EDUCATION,D,22,17300,15.62,0,0.31,4,56400,6,N
OWN,VENTURE,A,21,5000,6.54,0,0.09,2,56400,5,N
MORTGAGE,EDUCATION,B,23,4000,11.49,0,0.07,4,56400,0,N
RENT,PERSONAL,A,25,7500,8.32,0,0.2,4,37676,6,N
RENT,PERSONAL,A,22,7500,5.79,0,0.2,4,38000,5,N
RENT,MEDICAL,A,23,7500,7.88,0,0.2,4,38000,0,N
RENT,MEDICAL,D,26,7500,17.58,0,0.2,2,38400,10,N
RENT,VENTURE,C,22,7500,14.27,1,0.23,2,32400,6,N
MORTGAGE,MEDICAL,A,23,9800,0,0,0.17,2,56500,7,N
RENT,PERSONAL,C,23,7500,0,0,0.19,2,39975,0,Y
RENT,PERSONAL,B,22,7500,11.86,0,0.19,3,39996,0,N
RENT,VENTURE,B,23,7500,12.69,0,0.19,2,40000,7,N
MORTGAGE,EDUCATION,A,21,16000,7.88,0,0.28,3,56532,0,N
MORTGAGE,HOMEIMPROVEMENT,B,24,20000,11.11,0,0.35,2,56533,0,N
OWN,MEDICAL,B,23,12000,10.38,0,0.21,2,56600,3,N
RENT,PERSONAL,A,24,7500,5.79,0,0.19,4,40000,1,N
MORTGAGE,MEDICAL,B,22,6500,10.65,0,0.11,2,56650,2,N
MORTGAGE,VENTURE,C,25,20000,13.61,0,0.35,2,56655,9,N
MORTGAGE,EDUCATION,A,23,12000,5.42,0,0.21,2,56700,7,N
MORTGAGE,DEBTCONSOLIDATION,A,26,6000,9.63,0,0.11,4,56700,3,N
RENT,DEBTCONSOLIDATION,B,24,7500,11.36,0,0.19,4,40000,0,N
MORTGAGE,DEBTCONSOLIDATION,C,26,2500,0,0,0.04,3,56810,10,Y
RENT,MEDICAL,C,22,7500,12.53,1,0.22,4,34000,2,Y
MORTGAGE,PERSONAL,A,25,25000,7.51,0,0.44,3,56900,9,N
MORTGAGE,MEDICAL,B,23,11200,0,0,0.2,3,56900,7,N
MORTGAGE,DEBTCONSOLIDATION,A,22,12000,7.14,0,0.21,4,56902,6,N
OWN,VENTURE,A,23,9575,9.63,0,0.17,4,56996,2,N
RENT,VENTURE,B,22,7500,9.63,0,0.18,2,40906,4,N
RENT,DEBTCONSOLIDATION,B,26,7500,10.25,0,0.18,4,42000,0,N
OWN,PERSONAL,B,21,8000,10.65,0,0.14,3,57000,5,N
MORTGAGE,EDUCATION,A,22,12875,7.9,0,0.23,2,57000,4,N
MORTGAGE,MEDICAL,B,24,2400,12.69,0,0.04,4,57000,0,N
RENT,PERSONAL,B,23,7500,10.33,0,0.18,4,42000,1,N
RENT,PERSONAL,D,23,7500,12.61,1,0.21,2,36000,1,Y
MORTGAGE,PERSONAL,B,22,11425,9.91,0,0.2,4,57000,6,N
RENT,EDUCATION,A,22,7500,7.9,0,0.18,2,42500,0,N
RENT,HOMEIMPROVEMENT,D,21,7500,14.84,1,0.2,2,37260,1,Y
MORTGAGE,PERSONAL,A,25,13000,8.9,0,0.23,2,57000,5,N
RENT,PERSONAL,A,22,7500,8.32,0,0.17,3,44000,0,N
MORTGAGE,VENTURE,B,22,7200,0,0,0.13,2,57000,6,N
MORTGAGE,DEBTCONSOLIDATION,D,25,5500,16.77,1,0.11,2,51000,9,Y
MORTGAGE,MEDICAL,C,22,5950,13.49,0,0.1,3,57000,2,Y
RENT,MEDICAL,D,25,7500,15.62,1,0.19,2,39000,9,Y
MORTGAGE,MEDICAL,C,26,9000,12.99,0,0.16,4,57000,6,Y
MORTGAGE,VENTURE,A,26,14000,5.42,0,0.25,4,57000,10,N
MORTGAGE,VENTURE,C,21,14400,0,0,0.25,2,57000,5,Y
MORTGAGE,HOMEIMPROVEMENT,B,24,19725,9.99,0,0.35,2,57000,8,N
RENT,EDUCATION,D,23,7500,15.37,0,0.17,4,45000,5,Y
RENT,VENTURE,D,22,7500,0,1,0.19,4,39000,1,Y
MORTGAGE,EDUCATION,A,24,6000,5.99,0,0.11,3,57000,8,N
MORTGAGE,EDUCATION,C,26,12000,13.49,0,0.21,2,57000,4,Y
MORTGAGE,VENTURE,A,22,3200,5.99,0,0.06,4,57000,1,N
RENT,MEDICAL,B,26,7500,11.14,0,0.17,3,45450,2,N
RENT,EDUCATION,C,22,7500,0,0,0.16,4,45600,6,N
MORTGAGE,VENTURE,B,23,20000,11.99,0,0.35,2,57000,0,N
RENT,DEBTCONSOLIDATION,B,26,7500,9.99,0,0.16,3,46800,6,N
RENT,DEBTCONSOLIDATION,B,21,7500,10.99,0,0.16,2,47500,2,N
MORTGAGE,PERSONAL,A,23,9250,5.99,0,0.16,4,57000,7,N
OWN,MEDICAL,B,25,12000,10.59,0,0.21,3,57000,9,N
RENT,MEDICAL,A,23,7500,5.79,0,0.16,4,48000,4,N
RENT,DEBTCONSOLIDATION,E,22,7500,17.04,1,0.18,2,42000,7,N
RENT,DEBTCONSOLIDATION,C,25,7500,12.53,0,0.16,3,48000,9,N
MORTGAGE,MEDICAL,C,23,4200,12.68,0,0.07,4,57000,1,Y
MORTGAGE,EDUCATION,A,24,8000,5.42,0,0.14,3,57000,5,N
MORTGAGE,VENTURE,D,24,14000,14.91,0,0.25,4,57000,8,N
MORTGAGE,VENTURE,B,23,18000,11.11,0,0.32,2,57000,5,N
RENT,EDUCATION,B,25,7500,0,0,0.15,4,48659,4,N
MORTGAGE,PERSONAL,A,23,7000,0,0,0.12,2,57000,6,N
RENT,PERSONAL,A,22,7500,6.62,0,0.15,3,49000,7,N
MORTGAGE,HOMEIMPROVEMENT,D,25,11200,14.46,0,0.2,4,57000,5,Y
RENT,VENTURE,D,22,7500,14.96,1,0.17,3,43000,1,N
RENT,MEDICAL,A,21,7500,7.9,1,0.17,3,44000,5,N
RENT,PERSONAL,B,25,7500,10.99,0,0.15,2,50000,3,N
MORTGAGE,EDUCATION,D,23,17500,14.09,0,0.31,3,57000,6,Y
RENT,HOMEIMPROVEMENT,E,26,7500,16.4,1,0.17,3,44000,0,N
RENT,MEDICAL,A,22,7500,8.94,0,0.15,3,50000,1,N
RENT,MEDICAL,C,25,7500,13.92,1,0.17,3,44000,7,N
RENT,VENTURE,E,23,7500,16,1,0.17,4,44000,0,N
MORTGAGE,HOMEIMPROVEMENT,B,22,12000,11.86,1,0.24,3,51000,3,N
RENT,HOMEIMPROVEMENT,B,24,7500,10.01,0,0.15,3,50000,2,N
MORTGAGE,EDUCATION,A,22,7000,7.14,0,0.12,3,57000,6,N
OWN,PERSONAL,C,25,12000,13.23,0,0.21,3,57000,5,N
RENT,PERSONAL,A,22,7500,8.32,0,0.15,4,50000,1,N
MORTGAGE,MEDICAL,D,26,7000,15.21,1,0.14,4,51000,5,N
MORTGAGE,PERSONAL,B,22,7500,11.86,0,0.13,3,57000,5,N
RENT,DEBTCONSOLIDATION,A,22,7500,8.49,1,0.17,4,44400,4,N
MORTGAGE,PERSONAL,B,22,7500,10.25,0,0.13,2,57000,5,N
RENT,DEBTCONSOLIDATION,C,22,7500,13.22,0,0.15,3,50663,0,N
MORTGAGE,MEDICAL,D,26,13000,15.33,1,0.25,3,51000,10,Y
RENT,PERSONAL,A,22,7500,5.99,0,0.15,2,51000,6,N
MORTGAGE,EDUCATION,B,22,11400,12.53,0,0.2,3,57000,6,N
RENT,EDUCATION,C,22,7500,0,0,0.15,4,51000,6,N
RENT,VENTURE,B,23,7500,10.38,0,0.14,2,52000,7,N
RENT,EDUCATION,B,25,7500,10.39,0,0.14,4,53000,0,N
RENT,EDUCATION,A,24,7500,6.03,0,0.14,3,55000,0,N
MORTGAGE,DEBTCONSOLIDATION,B,24,12000,0,1,0.24,3,51000,8,N
RENT,DEBTCONSOLIDATION,A,22,7500,6.03,0,0.14,2,55000,6,N
MORTGAGE,VENTURE,B,26,2500,11.58,0,0.04,3,57000,10,N
OWN,EDUCATION,A,24,9000,8,0,0.16,4,57000,8,N
RENT,EDUCATION,A,21,7500,7.88,0,0.14,2,55000,1,N
MORTGAGE,VENTURE,A,24,5500,8,0,0.1,3,57000,3,N
OWN,EDUCATION,B,23,4200,10.51,0,0.07,3,57000,7,N
RENT,HOMEIMPROVEMENT,B,24,7500,12.53,0,0.14,2,55000,1,N
OWN,MEDICAL,A,25,900,8.63,0,0.02,4,57000,4,N
MORTGAGE,EDUCATION,B,22,25000,9.01,0,0.44,2,57000,6,N
MORTGAGE,VENTURE,C,25,7250,10.59,0,0.13,4,57000,5,N
MORTGAGE,DEBTCONSOLIDATION,A,26,6000,6.17,0,0.11,2,57006,10,N
RENT,EDUCATION,C,23,7500,11.97,0,0.13,4,57000,8,N
RENT,MEDICAL,C,23,7500,13.85,0,0.13,3,57600,5,N
OWN,VENTURE,C,26,1600,15.23,0,0.03,4,57068,2,Y
RENT,HOMEIMPROVEMENT,D,22,7500,0,1,0.14,4,52000,1,Y
MORTGAGE,MEDICAL,B,25,25000,10.99,0,0.44,4,57120,0,N
MORTGAGE,VENTURE,A,23,17450,6.62,0,0.31,3,57188,7,N
MORTGAGE,MEDICAL,A,21,8000,7.49,0,0.14,3,57192,0,N
RENT,EDUCATION,A,23,7500,6.54,0,0.13,2,59000,7,N
RENT,MEDICAL,D,25,7500,12.92,1,0.14,4,53000,3,N
MORTGAGE,DEBTCONSOLIDATION,A,21,8000,6.03,0,0.14,2,57200,5,N
MORTGAGE,DEBTCONSOLIDATION,A,22,7500,7.51,0,0.13,3,57200,7,N
MORTGAGE,EDUCATION,A,25,2400,7.49,0,0.04,2,57200,1,N
MORTGAGE,EDUCATION,A,22,7000,7.51,0,0.12,2,57200,4,N
RENT,MEDICAL,C,25,7500,14.27,0,0.13,2,60000,6,Y
MORTGAGE,EDUCATION,D,22,9000,15.58,0,0.16,3,57204,6,Y
RENT,MEDICAL,B,22,7500,9.99,0,0.13,3,60000,6,N
RENT,PERSONAL,A,23,7500,7.66,0,0.13,2,60000,4,N
MORTGAGE,DEBTCONSOLIDATION,A,25,8475,6.99,0,0.15,2,57400,9,N
MORTGAGE,EDUCATION,A,22,10500,7.75,0,0.18,3,57400,0,N
MORTGAGE,PERSONAL,A,24,4000,6.76,0,0.07,3,57431,8,N
RENT,PERSONAL,A,22,7500,6.17,0,0.13,3,60000,3,N
RENT,VENTURE,B,22,7500,0,0,0.13,4,60000,1,N
MORTGAGE,EDUCATION,B,23,14075,9.91,0,0.24,2,57468,8,N
RENT,VENTURE,A,23,7500,9.07,0,0.13,2,60000,8,N
MORTGAGE,VENTURE,A,21,4000,7.9,0,0.07,3,57500,6,N
RENT,EDUCATION,C,22,7500,11.34,0,0.13,4,60000,6,Y
RENT,EDUCATION,B,21,7500,10.39,0,0.12,2,61000,3,N
RENT,DEBTCONSOLIDATION,B,26,7500,9.83,0,0.12,3,64000,8,N
MORTGAGE,MEDICAL,C,25,12275,0,0,0.21,3,57500,5,Y
MORTGAGE,DEBTCONSOLIDATION,A,26,7750,6.76,0,0.13,3,57500,2,N
OTHER,MEDICAL,D,25,13000,16.07,1,0.25,2,51500,1,N
RENT,EDUCATION,A,26,7500,6.62,0,0.11,2,66000,2,N
RENT,MEDICAL,B,25,7500,12.18,0,0.11,4,67000,7,N
MORTGAGE,DEBTCONSOLIDATION,A,23,9000,6.54,0,0.16,3,57504,1,N
MORTGAGE,PERSONAL,A,23,10000,8.59,0,0.17,2,57504,7,N
MORTGAGE,DEBTCONSOLIDATION,A,26,3500,5.42,0,0.06,4,57550,0,N
MORTGAGE,MEDICAL,B,22,21000,11.48,0,0.36,3,57564,6,N
RENT,VENTURE,B,22,7500,9.76,0,0.11,2,67500,1,N
RENT,PERSONAL,B,24,7500,11.99,0,0.11,2,68000,0,N
RENT,EDUCATION,B,23,7500,11.49,0,0.11,3,68000,1,N
MORTGAGE,HOMEIMPROVEMENT,A,24,10500,6.62,0,0.18,3,57600,8,N
MORTGAGE,MEDICAL,B,26,1800,12.42,0,0.03,3,57600,10,N
MORTGAGE,DEBTCONSOLIDATION,A,23,10000,6.03,0,0.17,4,57600,0,N
OWN,VENTURE,A,22,6500,7.49,0,0.11,3,57600,6,N
OWN,EDUCATION,A,22,1500,5.99,0,0.03,3,57600,0,N
MORTGAGE,PERSONAL,B,23,4800,10.99,1,0.09,3,51600,1,N
MORTGAGE,HOMEIMPROVEMENT,A,24,3300,5.42,0,0.06,4,57600,0,N
RENT,HOMEIMPROVEMENT,C,23,7500,11.97,1,0.12,4,62844,7,N
MORTGAGE,VENTURE,B,22,6000,10.74,0,0.1,3,57600,6,N
MORTGAGE,VENTURE,B,24,6500,0,0,0.11,2,57600,9,N
RENT,VENTURE,A,24,7500,7.49,0,0.11,2,69996,5,N
RENT,HOMEIMPROVEMENT,D,23,7500,13.55,1,0.12,3,64000,0,N
MORTGAGE,PERSONAL,B,22,6000,10,0,0.1,2,57600,1,N
MORTGAGE,DEBTCONSOLIDATION,C,22,4000,0,0,0.07,2,57600,2,Y
MORTGAGE,DEBTCONSOLIDATION,A,23,4000,5.42,0,0.07,2,57600,6,N
MORTGAGE,PERSONAL,A,23,5000,5.79,0,0.09,3,57600,7,N
RENT,EDUCATION,C,21,7500,13.22,0,0.1,3,72000,1,N
MORTGAGE,DEBTCONSOLIDATION,A,23,4000,0,0,0.07,3,57600,7,N
RENT,EDUCATION,C,22,7500,11.41,0,0.1,3,72000,3,N
RENT,EDUCATION,C,23,7500,13.48,0,0.1,3,75000,8,Y
RENT,EDUCATION,B,23,7500,11.83,0,0.1,2,75000,4,N
MORTGAGE,PERSONAL,A,25,7000,7.88,0,0.12,3,57600,4,N
MORTGAGE,EDUCATION,C,23,10000,13.11,0,0.17,3,57600,7,N
RENT,MEDICAL,D,25,7500,15.37,1,0.11,4,58650,5,N
RENT,DEBTCONSOLIDATION,B,24,7500,10.71,0,0.09,4,79992,0,N
MORTGAGE,VENTURE,B,23,1000,0,0,0.02,2,57600,0,N
MORTGAGE,EDUCATION,A,23,10000,6.62,0,0.17,4,57664,4,N
RENT,DEBTCONSOLIDATION,D,25,7500,12.61,1,0.1,4,74004,2,Y
MORTGAGE,PERSONAL,B,23,3500,10.65,0,0.06,4,57700,7,N
MORTGAGE,VENTURE,B,21,13500,9.91,0,0.23,2,57700,5,N
MORTGAGE,HOMEIMPROVEMENT,A,25,9000,0,0,0.16,3,57700,9,N
RENT,HOMEIMPROVEMENT,D,22,7500,13.24,1,0.1,4,76500,0,Y
MORTGAGE,EDUCATION,A,23,7000,7.14,0,0.12,4,57738,7,N
MORTGAGE,PERSONAL,B,23,2500,10.37,0,0.04,2,57744,7,N
RENT,DEBTCONSOLIDATION,B,23,7500,10.33,0,0.09,2,87000,1,N
RENT,VENTURE,D,23,7500,15.58,0,0.08,3,90000,5,Y
RENT,MEDICAL,D,22,7500,14.96,1,0.1,2,66300,3,N
RENT,EDUCATION,C,23,7500,11.03,0,0.08,4,90000,7,N
MORTGAGE,EDUCATION,B,23,4000,10.99,0,0.07,2,57850,8,N
MORTGAGE,EDUCATION,C,22,20000,11.41,0,0.35,3,57860,1,N
MORTGAGE,EDUCATION,A,22,4850,8.49,0,0.08,2,57900,3,N
RENT,VENTURE,D,24,7500,16.89,1,0.09,4,79500,2,N
MORTGAGE,VENTURE,A,22,21250,6.91,0,0.37,4,57996,4,N
RENT,MEDICAL,B,24,7500,11.49,0,0.07,4,100300,3,N
MORTGAGE,EDUCATION,A,23,8800,7.51,0,0.15,2,57996,5,N
RENT,DEBTCONSOLIDATION,C,23,7500,11.28,0,0.07,4,115275,7,Y
RENT,HOMEIMPROVEMENT,C,26,7500,11.59,0,0.06,3,116600,2,Y
RENT,EDUCATION,C,23,7500,0,0,0.06,4,116700,2,N
MORTGAGE,VENTURE,B,22,2500,12.53,0,0.04,3,57996,2,N
RENT,DEBTCONSOLIDATION,D,26,7500,16.77,1,0.07,3,108000,2,Y
MORTGAGE,HOMEIMPROVEMENT,B,24,2400,11.89,0,0.04,4,57996,5,N
RENT,HOMEIMPROVEMENT,B,25,7500,12.69,0,0.06,4,125000,3,N
MORTGAGE,MEDICAL,E,26,6500,15.68,1,0.13,4,51996,2,N
MORTGAGE,DEBTCONSOLIDATION,A,23,7200,0,0,0.12,2,57996,7,N
RENT,EDUCATION,A,26,7500,8,0,0.03,2,230000,0,N
MORTGAGE,MEDICAL,B,26,31300,11.71,0,0.54,3,58000,5,N
RENT,EDUCATION,B,26,7525,11.49,0,0.15,2,50000,3,N
RENT,VENTURE,C,24,7550,14.79,1,0.37,4,20400,3,N
MORTGAGE,DEBTCONSOLIDATION,B,25,7200,11.71,0,0.12,3,58000,7,N
MORTGAGE,DEBTCONSOLIDATION,A,24,15700,7.9,0,0.27,3,58000,8,N
MORTGAGE,EDUCATION,D,24,11000,16.77,0,0.19,4,58000,3,N
RENT,VENTURE,A,22,7550,7.51,0,0.11,2,70000,4,N
RENT,MEDICAL,B,26,7550,9.99,1,0.11,3,56950,10,N
MORTGAGE,PERSONAL,D,24,15000,0,0,0.26,4,58000,3,N
RENT,HOMEIMPROVEMENT,A,25,7575,6.99,0,0.14,4,54000,7,N
OWN,MEDICAL,B,22,20000,11.99,0,0.34,4,58000,6,N
MORTGAGE,VENTURE,B,26,11600,11.99,0,0.2,3,58000,0,N
MORTGAGE,DEBTCONSOLIDATION,D,22,14825,15.62,1,0.29,3,52000,6,N
RENT,MEDICAL,B,25,7600,11.12,0,0.18,3,41412,0,N
RENT,MEDICAL,C,25,7600,12.84,1,0.19,3,39000,3,N
RENT,EDUCATION,D,22,7600,15.62,1,0.16,4,49000,0,N
RENT,HOMEIMPROVEMENT,B,25,7600,12.21,0,0.13,4,60000,1,N
RENT,VENTURE,B,26,7600,10,0,0.11,4,67000,2,N
MORTGAGE,DEBTCONSOLIDATION,A,24,7000,6.99,0,0.12,4,58000,5,N
RENT,VENTURE,C,25,7600,13.23,1,0.12,4,61680,1,N
MORTGAGE,PERSONAL,A,26,10000,0,0,0.17,4,58000,5,N
MORTGAGE,HOMEIMPROVEMENT,A,24,6000,5.42,0,0.1,4,58000,3,N
MORTGAGE,DEBTCONSOLIDATION,A,24,3000,5.42,0,0.05,4,58000,8,N
MORTGAGE,EDUCATION,A,21,4500,6.92,0,0.08,4,58000,3,N
RENT,HOMEIMPROVEMENT,D,24,7600,12.61,0,0.1,2,76554,8,N
RENT,VENTURE,B,23,7650,11.71,0,0.13,4,57000,5,N
MORTGAGE,PERSONAL,A,26,3000,6.92,0,0.05,4,58000,2,N
RENT,PERSONAL,D,25,7675,15.33,0,0.12,3,65000,6,Y
RENT,EDUCATION,A,22,7700,5.99,1,0.33,2,23400,0,N
MORTGAGE,EDUCATION,D,24,5000,15.28,1,0.1,4,52000,8,N
RENT,PERSONAL,A,25,7700,8.9,1,0.32,3,24000,6,N
MORTGAGE,EDUCATION,C,24,8000,13.43,0,0.14,4,58000,8,N
MORTGAGE,VENTURE,A,22,4000,7.29,0,0.07,3,58000,1,N
